priority,query
1,"Milan, Italy"
2,"Rome, Italy"
3,"Paris, France"
4,"London, United Kingdom"
5,"Berlin, Germany"
6,"Madrid, Spain"
7,"Barcelona, Spain"
8,"Amsterdam, Netherlands"
9,"Brussels, Belgium"
10,"Vienna, Austria"
11,"Prague, Czechia"
12,"Warsaw, Poland"
13,"Copenhagen, Denmark"
14,"Stockholm, Sweden"
15,"Oslo, Norway"
16,"Helsinki, Finland"
17,"Athens, Greece"
18,"Lisbon, Portugal"
19,"Dublin, Ireland"
20,"Zurich, Switzerland"
21,"Istanbul, Türkiye"
22,"Beijing, China"
23,"Shanghai, China"
24,"Tokyo, Japan"
25,"Seoul, South Korea"
26,Singapore
27,"Delhi, India"
28,"Mumbai, India"
29,"Islamabad, Pakistan"
30,"Lahore, Pakistan"
31,"Karachi, Pakistan"
32,"Dubai, United Arab Emirates"
33,"Riyadh, Saudi Arabia"
34,"Cairo, Egypt"
35,"Cape Town, South Africa"
36,"Nairobi, Kenya"
37,"New York, United States"
38,"Los Angeles, United States"
39,"Chicago, United States"
40,"Toronto, Canada"
41,"Vancouver, Canada"
42,"Mexico City, Mexico"
43,"São Paulo, Brazil"
44,"Buenos Aires, Argentina"
45,"Santiago, Chile"
46,"Sydney, Australia"
47,"Melbourne, Australia"
48,"Auckland, New Zealand"
49,"Jakarta, Indonesia"
50,"Bangkok, Thailand"
